state,x,y,capital
Kebbi,-358,187,Birnin Kebbi
Sokoto,-272,316,Sokoto
Zamfara,-223,245,Gusau
Katsina,-106,283,Katsina
Kano,-39,222,Kano
Jigawa,25,277,Dutse
Yobe,172,287,Damaturu
Borno,291,249,Maiduguri
Niger,-230,70,Minna
Kaduna,-75,125,Kaduna
Bauchi,51,120,Bauchi
Gombe,177,114,Gombe
Adamawa,248,52,Yola
Plateau,80,23,Jos
Nasarawa,-53,-38,Lafia
FCT,-123,-13,Abuja
Kwara,-303,-33,Ilorin
Oyo,-387,-61,Ibadan
Kogi,-162,-79,Lokoja
Benue,-28,-123,Makurdi
Taraba,123,-75,Jalingo
Cross River,6,-227,Calabar
Ebonyi,-59,-221,Abakaliki
Enugu,-102,-209,Enugu
Anambra,-131,-240,Awka
Imo,-124,-288,Owerri
Abia,-83,-273,Umuahia
Akwa ibom,-55,-332,Uyo
Rivers,-132,-346,Port Harcourt
Bayelsa,-203,-346,Yenagoa
Delta,-215,-291,Asaba
Edo,-201,-198,Benin City
Ekiti,-253,-110,Ado Ekiti
Osun,-318,-127,Oshogbo
Ogun,-395,-170,Abeokuta
Lagos,-386,-205,Ikeja
